Code,Phases,NVolt_kV,DemP_kW,DemQ_kVAr,Subest,Feeder,Pinst_kW,Qinst_kVAr,Yearly_kWh,NumCust,
P1RLV924  ,1 ,0.42  ,2.68    ,0.54   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,6.71    ,1.36   ,18487.67   ,1 ,
P1RLV925  ,1 ,0.42  ,3.14    ,0.64   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.84    ,1.59   ,21535.31   ,1 ,
P1RLV926  ,1 ,0.42  ,2.61    ,0.53   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,6.53    ,1.33   ,18072.13   ,1 ,
P1RLV927  ,1 ,0.42  ,3.40    ,0.69   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.50    ,1.73   ,23334.78   ,1 ,
P1RLV928  ,1 ,0.42  ,2.90    ,0.59   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.26    ,1.47   ,19931.97   ,1 ,
P1RLV929  ,1 ,0.42  ,3.39    ,0.69   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.49    ,1.72   ,23298.01   ,1 ,
P1RLV930  ,1 ,0.42  ,8.48    ,1.72   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,21.19   ,4.30   ,58166.95   ,1 ,
P1RLV931  ,1 ,0.42  ,3.13    ,0.64   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.83    ,1.59   ,21505.06   ,1 ,
P1RLV932  ,1 ,0.42  ,9.03    ,1.83   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,22.58   ,4.59   ,61993.75   ,1 ,
P1RLV933  ,1 ,0.42  ,4.24    ,0.86   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,10.59   ,2.15   ,29084.15   ,1 ,
P1RLV934  ,1 ,0.42  ,3.30    ,0.67   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.24    ,1.67   ,22625.79   ,1 ,
P1RLV935  ,1 ,0.42  ,5.73    ,1.16   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,14.31   ,2.91   ,39292.57   ,1 ,
P1RLV936  ,1 ,0.42  ,4.16    ,0.85   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,10.41   ,2.11   ,28575.97   ,1 ,
P1RLV937  ,1 ,0.42  ,2.93    ,0.60   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.34    ,1.49   ,20142.89   ,1 ,
P1RLV938  ,1 ,0.42  ,5.14    ,1.04   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,12.85   ,2.61   ,35271.39   ,1 ,
P1RLV939  ,1 ,0.42  ,3.48    ,0.71   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.69    ,1.77   ,23862.55   ,1 ,
P1RLV940  ,1 ,0.42  ,3.24    ,0.66   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.11    ,1.65   ,22261.81   ,1 ,
P1RLV941  ,1 ,0.42  ,3.16    ,0.64   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.91    ,1.61   ,21706.16   ,1 ,
P1RLV942  ,1 ,0.42  ,4.54    ,0.92   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,11.34   ,2.30   ,31134.44   ,1 ,
P1RLV943  ,1 ,0.42  ,2.98    ,0.61   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.46    ,1.51   ,20472.92   ,1 ,
P1RLV944  ,1 ,0.42  ,5.26    ,1.07   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,13.15   ,2.67   ,36106.44   ,1 ,
P1RLV945  ,1 ,0.42  ,3.06    ,0.62   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.65    ,1.55   ,21003.21   ,1 ,
P1RLV946  ,1 ,0.42  ,3.86    ,0.78   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,9.65    ,1.96   ,26492.63   ,1 ,
P1RLV947  ,1 ,0.42  ,3.66    ,0.74   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,9.15    ,1.86   ,25112.27   ,1 ,
P1RLV948  ,1 ,0.42  ,5.70    ,1.16   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,14.25   ,2.89   ,39133.73   ,1 ,
P1RLV949  ,1 ,0.42  ,6.11    ,1.24   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,15.27   ,3.10   ,41909.30   ,1 ,
P1RLV950  ,1 ,0.42  ,2.73    ,0.55   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,6.83    ,1.39   ,18751.54   ,1 ,
P1RLV951  ,1 ,0.42  ,4.02    ,0.82   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,10.05   ,2.04   ,27592.09   ,1 ,
P1RLV952  ,1 ,0.42  ,6.25    ,1.27   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,15.62   ,3.17   ,42894.79   ,1 ,
P1RLV953  ,1 ,0.42  ,3.52    ,0.71   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.80    ,1.79   ,24154.55   ,1 ,
P1RLV954  ,1 ,0.42  ,6.66    ,1.35   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,16.66   ,3.38   ,45728.65   ,1 ,
P1RLV955  ,1 ,0.42  ,3.01    ,0.61   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.53    ,1.53   ,20678.48   ,1 ,
P1RLV956  ,1 ,0.42  ,4.12    ,0.84   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,10.29   ,2.09   ,28259.11   ,1 ,
P1RLV957  ,1 ,0.42  ,4.46    ,0.91   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,11.15   ,2.26   ,30601.54   ,1 ,
P1RLV958  ,1 ,0.42  ,2.87    ,0.58   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.16    ,1.45   ,19668.89   ,1 ,
P1RLV959  ,1 ,0.42  ,1.38    ,0.28   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,3.45    ,0.70   ,6097.86    ,1 ,
P1RLV960  ,1 ,0.42  ,3.43    ,0.70   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.56    ,1.74   ,23508.96   ,1 ,
P1RLV961  ,1 ,0.42  ,7.04    ,1.43   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,17.59   ,3.57   ,48295.91   ,1 ,
P1RLV962  ,1 ,0.42  ,3.20    ,0.65   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.00    ,1.62   ,21965.20   ,1 ,
P1RLV963  ,1 ,0.42  ,5.04    ,1.02   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,12.61   ,2.56   ,34607.30   ,1 ,
P1RLV964  ,1 ,0.42  ,2.63    ,0.53   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,6.58    ,1.34   ,18195.64   ,1 ,
P1RLV965  ,1 ,0.42  ,3.20    ,0.65   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.99    ,1.62   ,21943.29   ,1 ,
P1RLV966  ,1 ,0.42  ,2.32    ,0.47   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,5.80    ,1.18   ,16420.07   ,1 ,
P1RLV967  ,1 ,0.42  ,4.64    ,0.94   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,11.61   ,2.36   ,31864.77   ,1 ,
P1RLV968  ,1 ,0.42  ,4.55    ,0.92   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,11.37   ,2.31   ,31205.45   ,1 ,
P1RLV969  ,1 ,0.42  ,4.49    ,0.91   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,11.22   ,2.28   ,30814.67   ,1 ,
P1RLV970  ,1 ,0.42  ,2.94    ,0.60   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.35    ,1.49   ,20169.96   ,1 ,
P1RLV971  ,1 ,0.42  ,4.51    ,0.92   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,11.27   ,2.29   ,30952.87   ,1 ,
P1RLV972  ,1 ,0.42  ,2.86    ,0.58   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.16    ,1.45   ,19650.77   ,1 ,
P1RLV973  ,1 ,0.42  ,3.45    ,0.70   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.63    ,1.75   ,23681.04   ,1 ,
P1RLV974  ,1 ,0.42  ,3.29    ,0.67   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.22    ,1.67   ,22559.83   ,1 ,
P1RLV975  ,1 ,0.42  ,3.24    ,0.66   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.09    ,1.64   ,22216.51   ,1 ,
P1RLV976  ,1 ,0.42  ,1.38    ,0.28   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,3.45    ,0.70   ,10637.80   ,1 ,
P1RLV977  ,1 ,0.42  ,4.22    ,0.86   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,10.54   ,2.14   ,28940.53   ,1 ,
P1RLV978  ,1 ,0.42  ,4.59    ,0.93   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,11.48   ,2.33   ,31503.33   ,1 ,
P1RLV979  ,1 ,0.42  ,4.14    ,0.84   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,10.34   ,2.10   ,28398.34   ,1 ,
P1RLV980  ,1 ,0.42  ,4.29    ,0.87   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,10.73   ,2.18   ,29461.77   ,1 ,
P1RLV981  ,1 ,0.42  ,2.58    ,0.52   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,6.46    ,1.31   ,17917.41   ,1 ,
P1RLV982  ,1 ,0.42  ,2.37    ,0.48   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,5.92    ,1.20   ,16710.61   ,1 ,
P1RLV983  ,3 ,0.42  ,81.33   ,26.73  ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,203.31  ,66.83  ,557019.60  ,1 ,
P1RLV984  ,1 ,0.42  ,5.58    ,1.83   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,13.95   ,4.58   ,38215.65   ,1 ,
P1RLV985  ,1 ,0.42  ,3.75    ,0.76   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,9.38    ,1.90   ,25742.18   ,1 ,
P1RLV986  ,1 ,0.42  ,5.93    ,1.20   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,14.83   ,3.01   ,40725.52   ,1 ,
P1RLV987  ,1 ,0.42  ,2.73    ,0.55   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,6.82    ,1.38   ,18726.80   ,1 ,
P1RLV988  ,1 ,0.42  ,3.57    ,0.73   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.94    ,1.81   ,24531.58   ,1 ,
P1RLV989  ,1 ,0.42  ,3.46    ,0.70   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.66    ,1.76   ,23774.63   ,1 ,
P1RLV990  ,1 ,0.42  ,3.69    ,0.75   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,9.23    ,1.87   ,25334.28   ,1 ,
P1RLV991  ,1 ,0.42  ,2.50    ,0.51   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,6.24    ,1.27   ,17424.76   ,1 ,
P1RLV992  ,1 ,0.42  ,3.20    ,0.65   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.00    ,1.62   ,21953.23   ,1 ,
P1RLV993  ,1 ,0.42  ,2.96    ,0.60   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.41    ,1.50   ,20338.46   ,1 ,
P1RLV994  ,1 ,0.42  ,5.59    ,1.13   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,13.97   ,2.84   ,38359.56   ,1 ,
P1RLV995  ,1 ,0.42  ,5.20    ,1.06   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,12.99   ,2.64   ,35668.42   ,1 ,
P1RLV996  ,1 ,0.42  ,3.46    ,0.70   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.64    ,1.75   ,23724.47   ,1 ,
P1RLV997  ,1 ,0.42  ,4.11    ,0.83   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,10.27   ,2.09   ,28206.36   ,1 ,
P1RLV998  ,1 ,0.42  ,2.33    ,0.47   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,5.82    ,1.18   ,16472.23   ,1 ,
P1RLV999  ,1 ,0.42  ,3.73    ,0.76   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,9.34    ,1.90   ,25630.97   ,1 ,
P1RLV1000 ,1 ,0.42  ,3.07    ,0.62   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.66    ,1.56   ,21036.33   ,1 ,
P1RLV1001 ,1 ,0.42  ,5.75    ,1.17   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,14.37   ,2.92   ,39456.70   ,1 ,
P1RLV1002 ,1 ,0.42  ,4.40    ,0.89   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,11.01   ,2.24   ,30227.73   ,1 ,
P1RLV1003 ,1 ,0.42  ,4.22    ,0.86   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,10.56   ,2.14   ,28996.66   ,1 ,
P1RLV1004 ,1 ,0.42  ,2.10    ,0.43   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,5.26    ,1.07   ,15205.21   ,1 ,
P1RLV1005 ,1 ,0.42  ,3.60    ,0.73   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,9.00    ,1.83   ,24708.94   ,1 ,
P1RLV1006 ,1 ,0.42  ,9.46    ,1.92   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,23.66   ,4.80   ,64944.17   ,1 ,
P1RLV1007 ,1 ,0.42  ,7.31    ,1.48   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,18.27   ,3.71   ,50168.75   ,1 ,
P1RLV1008 ,1 ,0.42  ,4.28    ,0.87   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,10.69   ,2.17   ,29359.17   ,1 ,
P1RLV1009 ,1 ,0.42  ,2.39    ,0.49   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,5.98    ,1.22   ,16846.38   ,1 ,
P1RLV1010 ,1 ,0.42  ,4.25    ,0.86   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,10.63   ,2.16   ,29171.87   ,1 ,
P1RLV1011 ,1 ,0.42  ,3.94    ,0.80   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,9.86    ,2.00   ,27056.59   ,1 ,
P1RLV1012 ,1 ,0.42  ,3.59    ,0.73   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.98    ,1.82   ,24664.78   ,1 ,
P1RLV1013 ,1 ,0.42  ,3.46    ,0.70   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.65    ,1.76   ,23755.04   ,1 ,
P1RLV1014 ,1 ,0.42  ,4.08    ,0.83   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,10.19   ,2.07   ,27983.57   ,1 ,
P1RLV1015 ,1 ,0.42  ,5.64    ,1.15   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,14.11   ,2.87   ,38741.77   ,1 ,
P1RLV1016 ,1 ,0.42  ,4.85    ,0.98   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,12.12   ,2.46   ,33279.79   ,1 ,
P1RLV1017 ,1 ,0.42  ,4.00    ,0.81   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,9.99    ,2.03   ,27427.05   ,1 ,
P1RLV1018 ,1 ,0.42  ,6.72    ,1.36   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,16.80   ,3.41   ,46125.17   ,1 ,
P1RLV1019 ,1 ,0.42  ,1.42    ,0.29   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,3.56    ,0.72   ,11173.05   ,1 ,
P1RLV1020 ,1 ,0.42  ,10.18   ,2.07   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,25.45   ,5.17   ,69878.05   ,1 ,
P1RLV1021 ,1 ,0.42  ,1.38    ,0.28   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,3.45    ,0.70   ,10271.21   ,1 ,
P1RLV1022 ,1 ,0.42  ,2.78    ,0.56   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,6.95    ,1.41   ,19093.12   ,1 ,
P1RLV1023 ,1 ,0.42  ,3.44    ,0.70   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.61    ,1.75   ,23639.73   ,1 ,
P1RLV1024 ,3 ,0.42  ,35.15   ,7.14   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,87.86   ,17.84  ,260637.50  ,1 ,
P1RLV1025 ,1 ,0.42  ,1.68    ,0.34   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,4.19    ,0.85   ,12423.90   ,1 ,
P1RLV1026 ,1 ,0.42  ,6.10    ,1.24   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,15.26   ,3.10   ,45274.25   ,1 ,
P1RLV1027 ,1 ,0.42  ,10.25   ,2.08   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,25.64   ,5.21   ,76049.09   ,1 ,
P1RLV1028 ,3 ,0.42  ,48.82   ,9.91   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,122.04  ,24.78  ,362032.80  ,1 ,
P1RLV1029 ,1 ,0.42  ,1.91    ,0.39   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,4.77    ,0.97   ,14106.93   ,1 ,
P1RLV1030 ,1 ,0.42  ,4.18    ,0.85   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,10.45   ,2.12   ,28698.29   ,1 ,
P1RLV1031 ,1 ,0.42  ,1.38    ,0.28   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,3.45    ,0.70   ,9862.53    ,1 ,
P1RLV1032 ,1 ,0.42  ,3.03    ,0.62   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.57    ,1.54   ,20790.59   ,1 ,
P1RLV1033 ,1 ,0.42  ,1.38    ,0.28   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,3.45    ,0.70   ,10896.35   ,1 ,
P1RLV1034 ,1 ,0.42  ,4.57    ,0.93   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,11.42   ,2.32   ,31361.18   ,1 ,
P1RLV1035 ,1 ,0.42  ,4.39    ,0.89   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,10.97   ,2.23   ,30121.61   ,1 ,
P1RLV1036 ,1 ,0.42  ,3.31    ,0.67   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.27    ,1.68   ,22698.61   ,1 ,
P1RLV1037 ,1 ,0.42  ,2.75    ,0.56   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,6.87    ,1.40   ,18863.96   ,1 ,
P1RLV1038 ,1 ,0.42  ,4.82    ,0.98   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,12.06   ,2.45   ,33100.90   ,1 ,
P1RLV1039 ,1 ,0.42  ,3.19    ,0.65   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.98    ,1.62   ,21911.24   ,1 ,
P1RLV1040 ,1 ,0.42  ,5.16    ,1.05   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,12.89   ,2.62   ,35399.72   ,1 ,
P1RLV1041 ,1 ,0.42  ,3.66    ,0.74   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,9.15    ,1.86   ,25111.79   ,1 ,
P1RLV1042 ,1 ,0.42  ,3.79    ,0.77   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,9.48    ,1.93   ,26025.93   ,1 ,
P1RLV1043 ,1 ,0.42  ,1.38    ,0.28   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,3.45    ,0.70   ,8049.95    ,1 ,
P1RLV1044 ,1 ,0.42  ,4.27    ,0.87   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,10.68   ,2.17   ,29332.18   ,1 ,
P1RLV1045 ,1 ,0.42  ,3.22    ,0.65   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.06    ,1.64   ,22121.09   ,1 ,
P1RLV1046 ,1 ,0.42  ,2.87    ,0.58   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.17    ,1.46   ,19688.81   ,1 ,
P1RLV1047 ,1 ,0.42  ,3.48    ,0.71   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.70    ,1.77   ,23883.35   ,1 ,
P1RLV1048 ,1 ,0.42  ,3.32    ,0.67   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.30    ,1.68   ,22779.96   ,1 ,
P1RLV1049 ,1 ,0.42  ,3.60    ,0.73   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.99    ,1.83   ,24690.57   ,1 ,
P1RLV1050 ,1 ,0.42  ,8.78    ,1.78   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,21.94   ,4.46   ,60242.24   ,1 ,
P1RLV1051 ,1 ,0.42  ,3.26    ,0.66   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.16    ,1.66   ,22403.44   ,1 ,
P1RLV1052 ,1 ,0.42  ,5.00    ,1.02   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,12.51   ,2.54   ,34347.92   ,1 ,
P1RLV1053 ,1 ,0.42  ,3.89    ,0.79   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,9.73    ,1.98   ,26716.40   ,1 ,
P1RLV1054 ,1 ,0.42  ,6.12    ,1.24   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,15.29   ,3.11   ,41980.95   ,1 ,
P1RLV1055 ,1 ,0.42  ,3.24    ,0.66   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.09    ,1.64   ,22209.22   ,1 ,
P1RLV1056 ,1 ,0.42  ,2.92    ,0.59   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.29    ,1.48   ,20013.47   ,1 ,
P1RLV1057 ,1 ,0.42  ,6.46    ,1.31   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,16.15   ,3.28   ,44335.25   ,1 ,
P1RLV1058 ,1 ,0.42  ,1.38    ,0.28   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,3.45    ,0.70   ,9482.71    ,1 ,
P1RLV1059 ,1 ,0.42  ,7.39    ,1.50   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,18.47   ,3.75   ,50693.69   ,1 ,
P1RLV1060 ,1 ,0.42  ,3.91    ,0.79   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,9.77    ,1.98   ,26811.61   ,1 ,
P1RLV1061 ,1 ,0.42  ,3.30    ,0.67   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.25    ,1.68   ,22652.32   ,1 ,
P1RLV1062 ,1 ,0.42  ,11.11   ,2.26   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,27.78   ,5.64   ,76252.45   ,1 ,
P1RLV1063 ,1 ,0.42  ,1.38    ,0.28   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,3.45    ,0.70   ,10692.41   ,1 ,
P1RLV1064 ,1 ,0.42  ,3.76    ,0.76   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,9.40    ,1.91   ,25804.24   ,1 ,
P1RLV1065 ,1 ,0.42  ,1.38    ,0.28   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,3.45    ,0.70   ,8319.51    ,1 ,
P1RLV1066 ,1 ,0.42  ,3.96    ,0.80   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,9.91    ,2.01   ,27204.54   ,1 ,
P1RLV1067 ,1 ,0.42  ,2.69    ,0.55   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,6.73    ,1.37   ,18526.50   ,1 ,
P1RLV1068 ,1 ,0.42  ,4.21    ,0.86   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,10.53   ,2.14   ,28919.47   ,1 ,
P1RLV1069 ,1 ,0.42  ,8.89    ,1.81   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,22.24   ,4.52   ,61045.52   ,1 ,
P1RLV1070 ,1 ,0.42  ,5.93    ,1.20   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,14.82   ,3.01   ,40688.64   ,1 ,
P1RLV1071 ,1 ,0.42  ,3.54    ,0.72   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.85    ,1.80   ,24282.65   ,1 ,
P1RLV1072 ,1 ,0.42  ,4.60    ,0.93   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,11.49   ,2.33   ,31546.50   ,1 ,
P1RLV1073 ,1 ,0.42  ,5.03    ,1.02   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,12.57   ,2.55   ,34495.93   ,1 ,
P1RLV1074 ,1 ,0.42  ,3.68    ,0.75   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,9.21    ,1.87   ,25276.03   ,1 ,
P1RLV1075 ,1 ,0.42  ,3.80    ,0.77   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,9.51    ,1.93   ,26097.44   ,1 ,
P1RLV1076 ,1 ,0.42  ,2.38    ,0.48   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,5.96    ,1.21   ,16790.38   ,1 ,
P1RLV1077 ,1 ,0.42  ,3.28    ,0.67   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.20    ,1.66   ,22507.45   ,1 ,
P1RLV1078 ,1 ,0.42  ,2.29    ,0.47   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,5.73    ,1.16   ,16276.87   ,1 ,
P1RLV1079 ,1 ,0.42  ,4.70    ,0.95   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,11.75   ,2.39   ,32264.35   ,1 ,
P1RLV1080 ,1 ,0.42  ,3.62    ,0.74   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,9.05    ,1.84   ,24857.36   ,1 ,
P1RLV1081 ,1 ,0.42  ,3.53    ,0.72   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.82    ,1.79   ,24216.30   ,1 ,
P1RLV1082 ,1 ,0.42  ,6.07    ,1.23   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,15.18   ,3.08   ,41682.71   ,1 ,
P1RLV1083 ,1 ,0.42  ,3.80    ,0.77   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,9.50    ,1.93   ,26074.57   ,1 ,
P1RLV1084 ,1 ,0.42  ,3.40    ,0.69   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.50    ,1.73   ,23344.52   ,1 ,
P1RLV1085 ,1 ,0.42  ,2.98    ,0.61   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.46    ,1.51   ,20477.73   ,1 ,
P1RLV1086 ,1 ,0.42  ,1.51    ,0.31   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,3.76    ,0.76   ,11699.22   ,1 ,
P1RLV1087 ,1 ,0.42  ,3.43    ,0.70   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,8.57    ,1.74   ,23539.52   ,1 ,
P1RLV1088 ,1 ,0.42  ,1.38    ,0.28   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,3.45    ,0.70   ,7753.87    ,1 ,
P1RLV1089 ,1 ,0.42  ,3.05    ,0.62   ,RHS0_1247 ,RHS0_1247 -> RDT1534 ,7.62    ,1.55   ,20920.71   ,1 ,
